,attributes_tischtennisplatten,geometry,lat,lon
1,2,POINT (7.012481767734089 50.863084651420266),50.863084651420266,7.012481767734089
4,1,POINT (7.010666342955268 50.86856085771727),50.86856085771727,7.010666342955268
6,1,POINT (7.01411496689509 50.87133288938749),50.87133288938749,7.01411496689509
7,1,POINT (6.969711462715619 50.84921842893644),50.84921842893644,6.969711462715619
8,1,POINT (6.977066171167873 50.84629819510744),50.84629819510744,6.977066171167873
12,1,POINT (6.966023608941218 50.853101882732226),50.853101882732226,6.966023608941218
17,1,POINT (6.924046849076612 50.85933436038142),50.85933436038142,6.924046849076612
18,1,POINT (6.930113281242797 50.9127867803923),50.9127867803923,6.930113281242797
19,1,POINT (6.926381421746476 50.904184867673536),50.904184867673536,6.926381421746476
21,2,POINT (6.921054745779052 50.90793065039644),50.90793065039644,6.921054745779052
22,2,POINT (6.934246303929044 50.91809005747736),50.91809005747736,6.934246303929044
23,1,POINT (6.9280219493982464 50.918514268059226),50.918514268059226,6.9280219493982464
24,1,POINT (6.93268725833762 50.944921303180145),50.944921303180145,6.93268725833762
28,1,POINT (6.97393543186255 50.93310735275473),50.93310735275473,6.97393543186255
31,1,POINT (6.980596651735073 50.93105156711001),50.93105156711001,6.980596651735073
32,1,POINT (6.975111560257151 50.929877461544756),50.929877461544756,6.975111560257151
35,2,POINT (6.969659030723675 50.912172327849476),50.912172327849476,6.969659030723675
37,2,POINT (6.965064259402048 50.90912155283791),50.90912155283791,6.965064259402048
41,2,POINT (6.962260598442737 50.90611052793568),50.90611052793568,6.962260598442737
42,3,POINT (6.9534038456472045 50.90824568006262),50.90824568006262,6.9534038456472045
48,1,POINT (6.938802306468711 50.90402959787908),50.90402959787908,6.938802306468711
49,1,POINT (6.957142095665435 50.933468121751375),50.933468121751375,6.957142095665435
50,1,POINT (6.942504212577386 50.9338016164065),50.9338016164065,6.942504212577386
51,1,POINT (6.944966390627031 50.93245167517382),50.93245167517382,6.944966390627031
56,1,POINT (6.947778720535717 50.92985173318765),50.92985173318765,6.947778720535717
57,1,POINT (6.956712945401584 50.926834483935785),50.926834483935785,6.956712945401584
59,1,POINT (6.960313596320719 50.92617086450904),50.92617086450904,6.960313596320719
61,2,POINT (6.96380153809026 50.92393726943682),50.92393726943682,6.96380153809026
63,1,POINT (6.958905107219534 50.91882697268848),50.91882697268848,6.958905107219534
65,3,POINT (6.966037009022163 50.92038938065582),50.92038938065582,6.966037009022163
69,3,POINT (6.949758144339228 50.91994756345482),50.91994756345482,6.949758144339228
70,2,POINT (6.9353669164988965 50.93185024821867),50.93185024821867,6.9353669164988965
72,1,POINT (6.948184042092461 50.92163299919044),50.92163299919044,6.948184042092461
75,2,POINT (6.950260572054175 50.94600723448889),50.94600723448889,6.950260572054175
78,1,POINT (6.942270113640952 50.93892184275275),50.93892184275275,6.942270113640952
80,1,POINT (6.935162540763991 50.943798240779344),50.943798240779344,6.935162540763991
81,1,POINT (6.954207574789569 50.95452178535057),50.95452178535057,6.954207574789569
82,1,POINT (6.954185719654844 50.95316039070519),50.95316039070519,6.954185719654844
85,2,POINT (6.9626272890595375 50.957600299057795),50.957600299057795,6.9626272890595375
90,1,POINT (6.963204998974633 50.95023936309501),50.95023936309501,6.963204998974633
94,2,POINT (6.948578170004315 50.90805512348671),50.90805512348671,6.948578170004315
96,1,POINT (6.942452887677995 50.91183808478682),50.91183808478682,6.942452887677995
98,1,POINT (6.954941412096846 50.86892805852896),50.86892805852896,6.954941412096846
100,1,POINT (6.948933069000556 50.86983636428309),50.86983636428309,6.948933069000556
102,1,POINT (6.959934711831025 50.87136999776162),50.87136999776162,6.959934711831025
106,1,POINT (6.947411215384865 50.94627610650167),50.94627610650167,6.947411215384865
107,2,POINT (6.930818410023988 50.94493696954608),50.94493696954608,6.930818410023988
109,2,POINT (6.96206920590039 50.8743826851281),50.8743826851281,6.96206920590039
113,2,POINT (6.99618513862382 50.88349576032603),50.88349576032603,6.99618513862382
114,1,POINT (6.997026002760835 50.89331431254078),50.89331431254078,6.997026002760835
117,1,POINT (7.0260147112883065 50.87549200037107),50.87549200037107,7.0260147112883065
123,2,POINT (6.993795934701869 50.90962531780962),50.90962531780962,6.993795934701869
126,1,POINT (6.997342028190918 50.9151364634521),50.9151364634521,6.997342028190918
129,1,POINT (7.02772410049449 50.9037461302203),50.9037461302203,7.02772410049449
130,1,POINT (7.047671796860023 50.895936536944866),50.895936536944866,7.047671796860023
131,1,POINT (7.058028404586251 50.90279124630198),50.90279124630198,7.058028404586251
